Content ID,en,zh,fr,de,it,ko,pl,ru,es
'LSAE',Entering new world: {0},进入新的世界：{0},Saisie nouveau monde: {0},Aufbruch in neue Welt: {0},Entrare nuovo mondo: {0},입력 새로운 세계 : {0},Wprowadzanie nowego świata: {0},Ввод нового мира: {0},Entrando nuevo mundo: {0}
'LCGG',You've already beaten that world!,你已经完成了这个世界！,Vous avez déjà battu ce monde!,Sie haben bereits diese Welt geschlagen!,Hai già battuto quel mondo!,당신은 이미 세상을 구타했습니다!,Już pobity ten świat!,Вы уже избитый этот мир!,Que ya ha vencido a ese mundo!
'LNI1',Cruise Control,控制航线,Régulateur de vitesse,Tempomat,Regolazione automatica della velocità,크루즈 컨트롤,Tempomat,Круиз-контроль,Cruise control
'LNI2',Let Jesus Drive,灵车漂移,Laissez Jésus lecteur,Lassen Sie Jesus fahren,Let Jesus Unità,예수님 드라이브하자,Niech Jezus napędu,Пусть Иисус Диска,Dejar que Jesús Drive
'LNI3',Illidan Goes Skiing,恶魔猎手滑雪,Illidan Goes ski,Illidan geht Skifahren,Illidan Goes Sci,일리단은 스키 간다,Illidan jeździ na nartach,Иллидан идет на лыжах,Illidan va Esquí
'LNI4',Hard Angles,硬角,Angles durs,harte Angles,duri Angles,하드 각도,twarde Kąty,Жесткие Уголки,Los ángulos duros
'LNI5',Frosty,冷冰冰,Glacial,Eisig,Gelido,싸늘한,Mroźny,морозный,Escarchado
'LNE1',Training Wheels,辅助轮,Roues d'entrainement,Stützräder,rotelle di addestramento,교육 바퀴,Koła treningowe,Обучение Колеса,ruedas de entrenamiento
'LNL1',Need For Speed,极品飞车,Besoin de vitesse,Need For Speed,Need For Speed,속도를위한 필요,Potrzeba prędkości,Жажда Скорости,Necesidad de la velocidad
'LNL2',Monday Commute,上班高峰期,lundi Commute,Montag pendeln,lunedi Commute,월요일 통근,poniedziałek Commute,понедельник Commute,Lunes conmuta
'LNP1',Perspective,透视,Perspective,Perspektive,Prospettiva,원근법,Perspektywiczny,Перспектива,Perspectiva
'LNP2',Palindrome,回文,palindrome,Palindrom,Palindrome,회문,palindrom,Палиндром,Palíndromo
'LNP3',Playground,操场,Terrain de jeux,Spielplatz,Terreno di gioco,운동장,Plac zabaw,Детская площадка,Patio de recreo
'LNP4',Pluto,月球,Pluton,Pluto,Plutone,명왕성,Pluton,Плутон,Plutón
'LNF1',Spring,春天,Printemps,Frühling,Primavera,봄,Wiosna,Весна,Primavera
'LNM1',Brick Break,劈瓦,Brick Break,Ziegelstein brechen,Pausa Brick,벽돌 브레이크,Przerwa cegła,Кирпич Перерыв,Romper ladrillo
'ECGG',Your team has cleared the level!,你的队伍已经完成了关卡！,Votre équipe a autorisé le niveau!,Ihr Team hat das Niveau gelöscht!,La tua squadra ha eliminato il livello!,당신의 팀은 레벨을 클리어했다!,Twój zespół wyczyszczone poziom!,Ваша команда очистила уровень!,Su equipo ha despejado el nivel!
'VVDT',Difficulty,难度,Difficulté,Schwierigkeit,Difficoltà,어려움,Trudność,трудность,Dificultad
'VVDE',Vanilla,简单,Facile,Einfach,Facile,쉬운,Łatwo,Легко,Fácil
'VVDC',Chocolate,困难,Difficile,Hart,Difficile,단단한,Ciężko,Жесткий,Difícil
'VVD9',99 and None,99+,99 et Aucun,99 und None,99 e Nessuno,99 없음,99 i None,99 и не None,99 y Ninguno
'VVTT',Teams,结盟类型,alliés,Alliierte,alleati,연합군,Sojusznicy,союзники,aliados
'VVTS',Solo,单人,Solo,Solo,Assolo,독주,Solo,Соло,Solo
'VVTR',Teams - Random,团队 - 随机,Équipes - Aléatoire,Teams - Random,Squadre - Random,팀 - 랜덤,Zespoły - Random,Команды - Случайный,Equipos - Random
'VVTO',Team - One for All,团队 - 我为人人,Team - Un pour tous,Team - One for All,Squadra - Uno per tutti,팀 - 모두를위한 하나,Team - Jeden za wszystkich,Команда - один для всех,Equipo - uno para todos
'PUGC',{0} gained your team {1} continues,{0}为你的队伍获得{1}次继续机会,{0} a gagné votre équipe {1} continue,{0} gewann Ihr Team {1} weiter,{0} ha guadagnato la tua squadra {1} continua,{0} 팀 {1}이 계속되었습니다,{0} zyskał zespół kontynuuje {1},{0} получила ваша команда {1} продолжается,{0} ganó su equipo {1} continúa
'PUSC',{0} stole {1} continues from team {2}!,{0}从队伍{1}偷取了{2}次继续机会！,{0} {1} étole continue de l'équipe {2}!,{0} {1} stahl weiter vom Team {2}!,{0} {1} stole continua dalla squadra {2}!,{0} 훔친 {1} 팀 {2}에서 계속된다!,{0} {1} ukradł nadal z zespołem {2}!,{0} {1 украла} продолжается из команды {2}!,{0} {1} robó continúa del equipo {2}!
'PUsC',{0} stole {1} continues from your team!,{0}从你的队伍偷取了{1}次继续机会！,{0} {1} étole continue de votre équipe!,{0} {1} stahl weiterhin von Ihrem Team!,{0} {1} stole continua dalla tua squadra!,{0} 훔친 {1} 팀에서 계속된다!,{0} {1} ukradł trwa od swojego zespołu!,{0} {1 украла} продолжается от вашей команды!,{0} {1} robó continúa desde su equipo!
'PUGP',{0} gained your team {1} points,{0}为你的队伍获得{1}分,{0} a gagné votre équipe points {1},{0} gewann Ihr Team {1} Punkte,{0} guadagnato il tuo squadra {1} punti,{0} 팀 {1} 점을 얻은,{0} zyskał swój zespół {1} punkty,{0} получил вашей команды {1} очков,{0} ganó su equipo {1} puntos
'PUSP',{0} stole {1} points from team {2}!,{0}从队伍{2}偷取了{1}分！,{0} {1} étole des points de l'équipe {2}!,{0} {1} stahl Punkte von Team {2}!,{0} {1} stola punti dalla squadra {2}!,{0} 팀 {2}에서 {1} 점을 훔친!,{0} {1} ukradł punktów z zespołem {2}!,{0} украла {1} точек из команды {2}!,{0} {1} estola puntos del equipo {2}!
'PUsP',{0} stole {1} points from your team!,{0}从你的队伍偷取了{1}分！,{0} étole points {1} de votre équipe!,{0} {1} stahl Punkte von Ihrem Team!,{0} {1} stola punti dalla tua squadra!,{0} 팀에서 {1} 점을 훔친!,{0} {1} ukradł punktów od swojego zespołu!,{0} украла {1} очков из вашей команды!,{0} {1} estola puntos de su equipo!
'PUTI',{0} picked up a team invulnerability shield!,{0}获得了团队无敌护盾！,{0} a pris un bouclier invulnérabilité d'équipe!,{0} nahm ein Team Unverwundbarkeit Schild up!,{0} raccolto uno scudo squadra invulnerabilità!,{0} 팀 무적의 방패를 집어!,{0} podniósł tarczę zespół niewrażliwości!,{0} взял команда неуязвимость щит!,{0} recogió un escudo equipo de invulnerabilidad!
'PUSI',You found a single-use invulnerability shield!,你获得了一次性无敌护盾！,Vous avez trouvé un bouclier invulnérabilité à usage unique!,Sie fanden eine Einweg- Unverwundbarkeit Schild!,Hai trovato uno scudo invulnerabilità monouso!,당신은 단일 사용 무적의 방패를 발견!,Znalazłeś jednorazowego użytku tarczę nieśmiertelność!,Вы нашли одноразовую неуязвимость щит!,Encontraste un escudo invulnerabilidad de un solo uso!
'TISE',{0} Seconds,{0}秒,{0} secondes,{0} Sekunden,{0} secondi,{0} 초,{0} sekund,{0} секунд,{0} segundos
'TIMI',{0} Minutes,{0}分钟,{0} Minutes,{0} Minuten,{0} minuti,{0} 분,{0} minutach,{0} минут,{0} minutos
'TQ10',Tutorial - Obstacles,教程 - 障碍,Tutoriel - Obstacles,Tutorial - Hindernisse,Tutorial - Ostacoli,튜토리얼 - 장애물,Tutorial - Przeszkody,Учебник - Препятствия,Tutorial - Obstáculos
'TQ1A',"Avoid the darkness, nobody likes the emo kid, and treat anything that moves like its got a gun. Hell, even treat the things that don't move like they may have a gun (they might).",避开黑暗，正如没有人喜欢emo kid一样。要把任何会动的东西当做它有枪一样。见鬼，甚至也要把那些不动的东西当做有枪,"Évitez l'obscurité, personne n'aime l'enfant emo, et tout traitement qui se déplace comme son a une arme. Enfer, même traiter les choses qui ne bougent pas comme ils peuvent avoir une arme à feu (ils pourraient).","Vermeiden Sie die Dunkelheit, niemand mag die emo Kind und behandeln alles was sich bewegt wie seine Waffe bekam. Hölle, behandeln auch die Dinge, die sich nicht bewegen, als wären sie eine Waffe haben kann (sie könnten).","Evitare il buio, a nessuno piace il ragazzo emo, e trattare tutto ciò che si muove come la sua ha una pistola. Inferno, anche trattare le cose che non si muovono come essi possono avere una pistola (che potrebbe).","어둠을 피하고 아무도 이랑 아이, 그와 같은 움직임이 총을 가지고 있음을 치료 것을 좋아한다. 지옥, 심지어 (그들은 수도)가 총을 가질 수있다처럼 움직이지 않는 물건을 취급합니다.","Uniknąć ciemności, nikt nie lubi dziecko emo i traktować wszystko, co porusza się podobnie jak jego ma broń. Cholera, nawet traktować rzeczy, które nie poruszają się jak mogą one mieć broń (oni mogą).","Избегайте темноты, никто не любит эмо ребенка, и лечить все, что движется, как ее получили оружие. Черт, даже относиться к вещам, которые не двигаются, как они могут иметь пистолет (они могут).","Evitar la oscuridad, a nadie le gusta el chico emo, y cualquier tratamiento que se mueve como su conseguido un arma de fuego. Demonios, incluso tratar las cosas que no se mueven como que pueden tener un arma de fuego (que podría)."
'TQ20',Tutorial - Fire,教程 - 火,Tutorial - Incendie,Tutorial - Feuer,Tutorial - Fuoco,튜토리얼 - 화재,Tutorial - Fire,Учебник - Огонь,Tutorial - Fuego
'TQ2A',"In one of the most recent physics findings to date, fire is actually super racist. Only approach a fire if you look the same as that fire (and don't assume it'll always be red, that's racist), or else it may pull a knife on you.",在最近的一项物理学发现中，火实际上有严重的种族歧视。只有当你看起来和火一样的时候才能接近火（不要以为它永远是红色的，那是种族歧视），不然它可能会拿刀捅你,"Dans l'une des plus récentes découvertes de la physique à ce jour, le feu est en fait super raciste. Ne vous approchez d'un feu si vous regardez la même chose que le feu (et ne présumez pas que ça va toujours être rouge, le raciste qui), ou bien il peut tirer un couteau sur vous.","In einer der jüngsten Physik bisherigen Erkenntnisse, Feuer ist eigentlich Super rassistisch. Ansatz nur ein Feuer, wenn Sie das gleiche wie das Feuer schauen (und nicht davon ausgehen, es immer, rassistisch ist, die rot werde), sonst kann es ein Messer auf Sie ziehen.","In una delle scoperte di fisica più recenti fino ad oggi, il fuoco è in realtà super-razzista. avvicinarsi Solo un fuoco se si guarda lo stesso di quello del fuoco (e non date per scontato che sarà sempre essere rosso, di quel razzista), oppure si può tirare un coltello su di voi.","현재까지 가장 최근 물리학 연구 결과 중 하나에 불이 실제로 슈퍼 인종 차별이다. 오직 당신 만이 화재와 같은 모양 (그리고, 그것은 항상 빨간색있을거야의 인종 차별을 가정하지 않는) 경우 화재에 접근, 그렇지 않으면 당신에 칼을 당겨 수 있습니다.","W jednym z najnowszych odkryć fizyki do tej pory ogień jest rzeczywiście bardzo rasistowski. zbliżyć tylko ogień, jeśli wyglądają tak samo, jak ten ogień (i nie zakładaj, będzie ona zawsze być czerwony, który jest rasistą), albo może wyciągnąć nóż na ciebie.","В одном из самых последних данных по физике на сегодняшний день, огнь на самом деле супер расист. Только подходить к пожару, если вы смотрите так же, как этот огонь (и не думайте, что будет всегда красный, что расизм), или же он может вытащить нож на вас.","En uno de los hallazgos recientes de la física la mayoría hasta la fecha, el fuego es en realidad muy racistas. Sólo acercarse a un incendio si se mira el mismo que el fuego (y no asuma que siempre va a ser de color rojo, de ese racista), o de lo contrario puede tirar un cuchillo en usted."
'TQ2B',"Editor's note - This tutorial originally had a red fire icon, but, due to lawsuit filed by blue fire, we would like to summon our most sincere apology to all those excluded by the picture that our intern picked. We can assure you that he is no longer with the firm, though this is primarily due to his 6 month internship ending.",编者按 - 本教程最初有一个红色的火焰图标，但由于蓝火提起诉讼，我们想对所有被排除在外的图标表达我们最真诚的歉意，因为全部排除在照片都是我们的实习生所挑选的。我们可以向你保证他已经不在公司了，尽管这主要是因为他6个月的实习期结束了,"Note de l'éditeur - Ce tutoriel avait à l'origine une icône de feu rouge, mais, en raison de procès intenté par le feu bleu, nous voudrions appeler nos excuses les plus sincères à tous ceux qui sont exclus par l'image que notre stagiaire choisi. Nous pouvons vous assurer qu'il ne fait plus partie de l'entreprise, bien que ce soit principalement en raison de son stage de 6 mois se terminant.","Anmerkung der Redaktion - Dieses Tutorial hatte ursprünglich ein rotes Feuer-Symbol, aber wegen Klage durch blaues Feuer eingereicht, würden wir unsere aufrichtigste Entschuldigung gern an alle diejenigen, die durch das Bild, ausgeschlossen rufen, dass unsere intern gepflückt. Wir können Ihnen versichern, dass er nicht mehr mit der Firma, obwohl dies in erster Linie wegen seiner 6 Monaten ist Praktikum endet.","Ndr - Questo tutorial ha avuto origine l'icona di un rosso fuoco, ma, a causa della causa intentata da fuoco azzurro, vorremmo richiamare la nostra più sincere scuse a tutti coloro che sono esclusi dalla foto che il nostro stagista scelto. Possiamo assicurarvi che lui non è più con la società, anche se questo è dovuto principalmente alla sua 6 mesi di stage finale.","편집자 주 - 파란 불이 제기 소송에, 우리는 우리의 인턴 포착하는 사진에서 제외하는 모든 사람들에게 우리의 가장 진심으로 사과를 소환하고 싶은 인해이 튜토리얼은 원래 빨간색 화재 아이콘을했지만. 이 끝나는 인턴 그의 6개월에 주로 기인하지만 우리는 그가 회사와 더 이상 말씀 드릴 수 없습니다.","Od redakcji - Ten poradnik pierwotnie miał czerwoną ikonę pożaru, ale ze względu na pozew przez błękitnego ognia, chcielibyśmy przywołać nasze najszczersze przeprosiny dla wszystkich osób wykluczonych przez obraz, że nasz stażysta zrywane. Możemy zapewnić, że nie jest już w firmie, choć jest to głównie ze względu na jego 6 miesięcy staż kończy.","Примечание редактора - Этот учебник изначально был красный значок огонь, но из-за иска, поданного синего огня, мы хотели бы, чтобы вызвать самые искренние извинения всем тем, исключены картины, что наш стажер выбрал. Мы можем заверить вас, что он больше не с фирмой, хотя это в первую очередь из-за его 6 месяцев стажировки заканчивается.","Nota del editor - Este tutorial al principio tenía un icono de color rojo fuego, pero, debido a la demanda presentada por el fuego azul, nos gustaría llamar a nuestra más sinceras disculpas a todos los excluidos por la imagen que nuestro interno recogido. Podemos asegurar que ya no está con la firma, aunque esto se debe principalmente a su hija de 6 meses de prácticas que termina."
'TQ30',Tutorial - Ice Skating,教程 - 溜冰,Tutoriel - Patinage sur glace,Tutorial - Eislaufen,Tutorial - Pattinaggio su ghiaccio,튜토리얼 - 아이스 스케이팅,Tutorial - Łyżwiarstwo,Учебник - Катание на коньках,Tutorial - patinaje sobre hielo
'TQ3A',"Walk on any ice to start ice skating! While skating, you'll always move forward in the direction you're facing, but you can click to turn.",站立任何冰面上开始滑冰！滑冰时，你会朝着你你的前方前进，但你可以进行转向,"Marcher sur la glace pour commencer le patinage sur glace! Alors que le patinage, vous aurez toujours aller de l'avant dans la direction que vous faites face, mais vous pouvez cliquer pour tourner.","Gehen Sie auf jedem Eis Schlittschuhlaufen zu starten! Während Skaten, werden Sie immer nach vorne in Richtung bewegen Sie zugewandt sind, aber Sie können drehen klicken.","Camminare su qualsiasi ghiaccio per iniziare a pattinare sul ghiaccio! Mentre pattinaggio, sarai sempre sposta in avanti nella direzione che stai affrontando, ma è possibile fare clic per girare.","아이스 스케이팅을 시작하는 모든 얼음에 걸어! 스케이트 동안, 당신은 항상 당신이 향하고있는 방향으로 전진 하겠지만, 당신은 설정을 클릭 할 수 있습니다.","Chodzić na jakiekolwiek lodzie zacząć łyżwach! Podczas jazdy na łyżwach, zawsze iść do przodu w kierunku patrzysz, ale można kliknąć, aby włączyć.","Прогулка на любом льду, чтобы начать кататься на коньках! В то время как катание на коньках, вы всегда будете двигаться вперед в направлении вы столкнулись, но вы можете нажать, чтобы включить.","Caminar sobre el hielo para empezar a patinar sobre hielo! Mientras que el patinaje, siempre se moverá hacia adelante en la dirección que estamos enfrentando, pero puede hacer clic para girar."
'TQ3B',Press the 'escape' key to toggle camera tracking however you find most helpful.,不过你会觉得最有用的是按ESC键来切换镜头追踪,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
'TQ3C',"Snow is similar to ice, where you gradually gain (and lose) speed depending on your current speed and the direction you're facing.",雪类似于冰，在雪地上你会根据当前的滑行速度和面对的方向逐渐获得（或失去）速度,"La neige est semblable à la glace, où vous progressivement la vitesse de gain (et perdre) en fonction de votre vitesse et la direction actuelle, vous êtes confronté.","Schnee ist ähnlich wie Eis, wo man nach und nach Verstärkung (und verlieren) Geschwindigkeit abhängig von der aktuellen Geschwindigkeit und die Richtung der Sie zugewandt.","La neve è simile al ghiaccio, la velocità in cui è gradualmente guadagno (e perdere) a seconda della velocità corrente e la direzione che stai affrontando.","눈이 얼음, 현재 속도와 당신이 향하고있는 방향에 따라 점차적으로 증가 (그리고 잃게) 속도와 유사하다.","Śnieg jest podobny do lodu, gdzie stopniowo zysk (i stracić) prędkości w zależności od aktualnej prędkości i kierunku, w którym patrzysz.","Снег похож на лед, где вы постепенно усиление (и потерять) скорость в зависимости от текущей скорости и направления вы столкнулись.","La nieve es similar al hielo, la velocidad en la que poco a poco la ganancia (y perder) en función de la velocidad actual y la dirección en que está enfrentando."
'TQ3D',"Rocky snow is the same deal as regular snow, except you can't change your direction once you start sliding!",岩石雪和普通雪是一样的，只是一旦你开始滑行就不能改变方向！,"neige Rocky est la même affaire que la neige régulière, sauf que vous ne pouvez pas changer de direction une fois que vous commencez à glisser!","Rocky Schnee ist die gleiche Sache, wie regelmäßige Schnee, außer dass Sie nicht Ihre Richtung ändern können, wenn Sie Schiebe beginnen!","neve Rocky è l'accordo stesso come la neve normale, tranne che non si può cambiare la vostra direzione, una volta che si avvia annoiarvi!","록키 눈은 슬라이딩 시작하면 당신이 당신의 방향을 변경할 수 없습니다 제외하고, 정기적으로 눈과 같은 거래이다!","Rocky śnieg jest taki sam interes jak regularne śniegu, z wyjątkiem nie można zmienić kierunek po uruchomieniu przesuwne!","Rocky снег такой же сделки как обычный снег, за исключением того, вы не можете изменить свое направление, как только вы начинаете скольжение!","nieve Rocky es el mismo acuerdo que la nieve regular, excepto que no se puede cambiar de dirección una vez que comience a resbalar!"
'TQ40',Tutorial - 2D,教程 - 2D,Tutorial - 2D,Tutorial - 2D,Tutorial - 2D,튜토리얼 - 2D,Tutorial - 2D,Учебник - 2D,Tutorial - 2D
